com.bimoid.OBIMP	public static void addGroup(com.bimoid.OBIMPConnection, java.lang.String, int) 	con	B2	0/5
com.bimoid.OBIMP	public static void updateGroup(com.bimoid.OBIMPConnection, java.lang.String, int) 	con	B1	2/7
com.bimoid.OBIMP	public static void updateGroup(com.bimoid.OBIMPConnection, java.lang.String, int) 	con	B2	0/5
com.bimoid.OBIMPConnection	public void connect() 	t	B1	1/6
com.bimoid.OBIMP	public static void cliAuthReply(com.bimoid.OBIMPConnection, java.lang.String, boolean) 	con	B1	2/6
com.bimoid.OBIMP	public static void cliAuthReply(com.bimoid.OBIMPConnection, java.lang.String, boolean) 	con	B2	0/4
com.bimoid.OBIMP	public static void cliAuthRequest(com.bimoid.OBIMPConnection, java.lang.String) 	con	B1	2/6
com.bimoid.OBIMP	public static void cliAuthRequest(com.bimoid.OBIMPConnection, java.lang.String) 	con	B2	0/4
com.bimoid.OBIMP	public static void cliAuthRevoke(com.bimoid.OBIMPConnection, java.lang.String) 	con	B1	2/6
com.bimoid.OBIMP	public static void cliAuthRevoke(com.bimoid.OBIMPConnection, java.lang.String) 	con	B2	0/4
com.bimoid.OBIMP	public static void delGroup(com.bimoid.OBIMPConnection, int) 	con	B1	2/5
com.bimoid.OBIMP	public static void delGroup(com.bimoid.OBIMPConnection, int) 	con	B2	0/3
com.bimoid.OBIMP	public static void getCliInfo(com.bimoid.OBIMPConnection, java.lang.String) 	con	B1	2/5
com.bimoid.OBIMP	public static void getCliInfo(com.bimoid.OBIMPConnection, java.lang.String) 	con	B2	0/3
com.bimoid.OBIMPConnection	public void connect() 	listener	B1	1/4
com.bimoid.packet.PacketHandler	public static synchronized void parsePacket(com.bimoid.packet.Packet, HashMap<java.lang.Integer,com.bimoid.data.type.BLK>, com.bimoid.OBIMPConnection, java.lang.String, java.lang.String, java.net.Socket) throws java.io.IOException	clist	B97	7/9
com.bimoid.packet.PacketHandler	public static synchronized void parsePacket(com.bimoid.packet.Packet, HashMap<java.lang.Integer,com.bimoid.data.type.BLK>, com.bimoid.OBIMPConnection, java.lang.String, java.lang.String, java.net.Socket) throws java.io.IOException	clist	B99	4/6
com.bimoid.packet.PacketHandler	private static HashMap#RAW parseByteToCLItems(int, byte[]) 	c	B1	6/8
com.bimoid.packet.PacketHandler	private static HashMap#RAW parseByteToCLItems(int, byte[]) 	c	B2	6/7
